,Quarter,close,volume,ticker
391,20.Q3,32.6,630433400,XOM
392,20.Q2,42.1,447137800,XOM
393,20.Q1,46.5,791507100,XOM
394,19.Q4,62.1,359133900,XOM
395,19.Q3,67.6,237608200,XOM
396,19.Q2,74.4,186899500,XOM
397,19.Q1,80.3,219523400,XOM
398,18.Q4,73.3,269226500,XOM
399,18.Q3,79.7,305909200,XOM
400,24.Q3,564.5,74141000,UNH
401,24.Q2,576.2,95463400,UNH
402,24.Q1,483.7,120751600,UNH
403,23.Q4,511.7,97040500,UNH
404,23.Q3,535.6,62294800,UNH
405,23.Q2,506.4,89690900,UNH
406,23.Q1,492.1,66301400,UNH
407,22.Q4,499.2,81009900,UNH
408,22.Q3,555.2,59743500,UNH
409,22.Q2,542.3,58410400,UNH
410,22.Q1,508.5,61462000,UNH
411,21.Q4,472.6,80739800,UNH
412,21.Q3,460.5,60241500,UNH
413,21.Q2,412.2,51586100,UNH
414,21.Q1,398.8,56370900,UNH
415,20.Q4,333.6,63126000,UNH
416,20.Q3,305.1,57916400,UNH
417,20.Q2,302.8,61207300,UNH
418,20.Q1,292.5,104539500,UNH
419,19.Q4,272.5,84374200,UNH
420,19.Q3,252.7,107377700,UNH
421,19.Q2,249.0,82522700,UNH
422,19.Q1,233.1,173459600,UNH
423,18.Q4,270.2,82836100,UNH
424,18.Q3,261.4,84593100,UNH
425,24.Q3,874.2,35631000,COST
426,24.Q2,822.0,45966400,COST
427,24.Q1,722.9,38057200,COST
428,23.Q4,694.9,44180200,COST
429,23.Q3,552.4,39764300,COST
430,23.Q2,560.7,36890200,COST
431,23.Q1,503.2,33746900,COST
432,22.Q4,511.1,40977800,COST
433,22.Q3,501.5,44905600,COST
434,22.Q2,541.3,46975700,COST
435,22.Q1,531.7,49744700,COST
436,21.Q4,505.1,57966700,COST
437,21.Q3,491.5,35620200,COST
438,21.Q2,429.7,37236300,COST
439,21.Q1,372.1,41459800,COST
440,20.Q4,352.4,49700800,COST
441,20.Q3,357.6,42956000,COST
442,20.Q2,325.5,46030600,COST
443,20.Q1,303.0,74411200,COST
444,19.Q4,305.5,43480800,COST
445,19.Q3,297.1,46758900,COST
446,19.Q2,275.6,32122300,COST
447,19.Q1,245.5,32850000,COST
448,18.Q4,214.6,46077200,COST
449,18.Q3,228.6,66756300,COST
450,24.Q3,165.2,146902800,PG
451,24.Q2,160.8,142583100,PG
452,24.Q1,163.2,154782800,PG
453,23.Q4,157.1,181340700,PG
454,23.Q3,150.0,141702700,PG
455,23.Q2,156.3,134090500,PG
456,23.Q1,156.4,115635400,PG
