Stock Name,Ticker,Market Cap,Exchange,Country,Sector,Industry
Wabtec,WAB,"$33,180",NYSE,United States,Transportation,Transportation - Equipment & Leasing
Heico,HEI,"$33,117",NYSE,United States,Aerospace,Aerospace and Defense Equipment
Rockwell Automation,ROK,"$32,716",NYSE,United States,Computer and Technology,Electrical Products - Miscellaneous
Martin Marietta Materials,MLM,"$32,618",NYSE,United States,Construction,"Building - Cement, Concrete and Aggregates"
DuPont De Nemours,DD,"$32,300",NYSE,United States,Basic Materials,Chemicals - Diversified
Entergy,ETR,"$32,217",NYSE,United States,Utilities,Utility - Electric Power Distribution
Deckers Outdoor,DECK,"$32,051",NYSE,United States,Retail/Wholesale,Retail - Apparel & Shoes
Equifax,EFX,"$32,033",NYSE,United States,Business Services,Consulting Services
United Airlines Holdings Inc,UAL,"$32,033",NASDAQ,United States,Transportation,Transportation - Airlines
Take-Two Interactive Software,TTWO,"$31,959",NASDAQ,United States,Consumer Discretionary,"Toys, Games and Hobby Products"
Hartford Financial Services,HIG,"$31,734",NYSE,United States,Finance,Multi-Line Insurance Providers
Alnylam Pharmaceuticals,ALNY,"$31,657",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Raymond James Financial,RJF,"$31,637",NYSE,United States,Finance,Finance - Investment Banks
AvalonBay Communities,AVB,"$31,601",NYSE,United States,Finance,REIT - Residential Equity Trusts
M&T Bank,MTB,"$31,439",NYSE,United States,Finance,Banks - Major Regional
Tradeweb Markets,TW,"$31,356",NASDAQ,United States,Finance,Finance - Investment Banks
DexCom,DXCM,"$31,263",NASDAQ,United States,Medical,Medical Instruments Manufacturing
Consolidated Edison Inc,ED,"$31,187",NYSE,United States,Utilities,Utility - Electric Power Distribution
Extra Space Storage Inc,EXR,"$31,162",NYSE,United States,Finance,REIT - Other Equity Trusts
EBay,EBAY,"$31,140",NASDAQ,United States,Retail/Wholesale,Internet Commerce
Live Nation Entertainment,LYV,"$30,968",NYSE,United States,Consumer Discretionary,Movie & TV Production and Distribution
Carnival,CCL,"$30,932",NYSE,United States,Consumer Discretionary,Leisure & Recreation Services
HP,HPQ,"$30,891",NYSE,United States,Computer and Technology,Computer - Microcomputers
Iron Mountain,IRM,"$30,843",NYSE,United States,Business Services,Business Information Services
Edison,EIX,"$30,786",NYSE,United States,Utilities,Utility - Electric Power Distribution
VICI Properties,VICI,"$30,350",NYSE,United States,Finance,REIT - Other Equity Trusts
Centene,CNC,"$30,080",NYSE,United States,Medical,Medical - Health Maintenance Organizations
WEC Energy,WEC,"$29,895",NYSE,United States,Utilities,Utility - Electric Power Distribution
Microchip Technology,MCHP,"$29,809",NASDAQ,United States,Computer and Technology,Semiconductor - Analog & Mixed
First Citizens BancShares,FCNCA,"$29,805",NASDAQ,United States,Finance,Banks - Southeast
Humana,HUM,"$29,754",NYSE,United States,Medical,Medical - Health Maintenance Organizations
ANSYS,ANSS,"$29,591",NASDAQ,United States,Computer and Technology,Computer Software
Brown & Brown,BRO,"$29,434",NYSE,United States,Finance,Insurance Brokers
CoStar,CSGP,"$29,288",NASDAQ,United States,Computer and Technology,Information Technology Services
Monolithic Power Systems,MPWR,"$28,937",NASDAQ,United States,Computer and Technology,Semiconductor - Analog & Mixed
GoDaddy,GDDY,"$28,838",NYSE,United States,Computer and Technology,Internet Services - Delivery
Tractor Supply,TSCO,"$28,804",NASDAQ,United States,Retail/Wholesale,Retail - Miscellaneous & Diversified
State Street,STT,"$28,787",NYSE,United States,Finance,Banks - Major Regional
Fifth Third Bancorp,FITB,"$28,786",NASDAQ,United States,Finance,Banks - Major Regional
Zscaler,ZS,"$28,751",NASDAQ,United States,Computer and Technology,Internet Services
Cardinal Health,CAH,"$28,625",NYSE,United States,Medical,Medical & Dental Supplies
Global Payments,GPN,"$28,511",NYSE,United States,Business Services,Financial Transaction Services
Xylem,XYL,"$28,459",NYSE,United States,Business Services,Waste Removal Services
Hewlett Packard Enterprise,HPE,"$28,424",NYSE,United States,Computer and Technology,Computers - Integrated Systems
Keysight Technologies,KEYS,"$28,265",NYSE,United States,Computer and Technology,Electrical Measuring Instruments
Dow,DOW,"$27,962",NYSE,United States,Basic Materials,Chemicals - Diversified
ON Semiconductor,ON,"$27,890",NASDAQ,United States,Computer and Technology,Semiconductor - Analog & Mixed
PPG Industries,PPG,"$27,889",NYSE,United States,Basic Materials,Chemicals - Specialty
Kellanova,K,"$27,748",NYSE,United States,Consumer Discretionary,Consumer Products - Misc. Discretionary
Nucor,NUE,"$27,374",NYSE,United States,Basic Materials,Steel Producers
Equity Residential,EQR,"$27,072",NYSE,United States,Finance,REIT - Residential Equity Trusts
Estee Lauder,EL,"$26,694",NYSE,United States,Consumer Staples,Cosmetics and Toiletries
Broadridge Financial Solutions,BR,"$26,418",NYSE,United States,Business Services,Outsourcing Services
Zoom Communications,ZM,"$26,236",NASDAQ,United States,Computer and Technology,Internet Software
Warner Bros Discovery,WBD,"$26,224",NASDAQ,United States,Consumer Discretionary,Broadcasting - Radio & TV
Texas Pacific Land,TPL,"$26,033",NYSE,United States,Oils/Energy,Other Alternate Energy
Church & Dwight,CHD,"$25,994",NYSE,United States,Consumer Staples,Consumer Products - Misc. Discretionary
Mettler-Toledo,MTD,"$25,972",NYSE,United States,Computer and Technology,Scientific Instruments Manufacturing
Dover,DOV,"$25,966",NYSE,United States,Industrial Products,General Industrial Machinery
Tyler Technologies,TYL,"$25,911",NYSE,United States,Computer and Technology,Business Software Services
Fortive,FTV,"$25,830",NYSE,United States,Computer and Technology,Electrical Test Equipment
T Rowe Price,TROW,"$25,797",NASDAQ,United States,Finance,Finance - Investment Management
