,Ticker,Quarter,EPS,BPS,PER,PBR,ROE,ROA,ROIC,Debt_ratio,매출액,영업이익,순이익,자산총액,부채총액,자본총액,영업활동,투자활동,재무활동,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500,close,volume,Market Cap,Sector,index
48,NVDA,19.Q1,0.17,0.38,23.59,10.46,46.90,32.3,32.90,42.30,"2,205",294,566,"13,292","3,950","9,342",898,40,-877,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92,4.5,9437780000.0,"$3,298,803",Computer and Technology,1.0
49,NVDA,18.Q4,0.19,0.39,25.68,12.72,56.10,38.1,43.80,44.10,"3,181","1,058","1,230","13,657","4,182","9,475",487,219,-703,2.25,0.0,2.5,0.0,73.76,0.0,290.72,3.6,16870992000.0,"$3,298,803",Computer and Technology,1.0
50,MSFT,24.Q3,12.12,38.71,35.34,11.12,34.60,18.2,50.40,81.80,"65,585","30,552","24,667","523,013","235,290","287,723","34,180","-15,201","-16,576",5.25,-0.25,3.1,0.1,84.0,-1.26,562.01,406.4,440745500.0,"$3,246,069",Computer and Technology,2.0
51,MSFT,24.Q2,11.8,36.13,37.69,12.37,36.00,18.4,52.60,90.80,"64,727","27,925","22,036","512,163","243,686","268,477","37,195","-14,848","-23,563",5.5,0.0,3.0,1.4,85.26,3.96,534.01,418.4,440449200.0,"$3,246,069",Computer and Technology,2.0
52,MSFT,24.Q1,11.55,34.07,36.27,12.35,37.50,19.0,54.60,91.30,"61,858","27,581","21,939","484,275","231,123","253,152","31,917","-10,700","-18,808",5.5,0.0,1.6,-1.6,81.3,-2.24,521.21,389.3,440777700.0,"$3,246,069",Computer and Technology,2.0
53,MSFT,23.Q4,11.06,32.06,33.86,11.73,38.40,19.3,55.60,97.50,"62,020","27,032","21,870","470,558","232,290","238,268","18,853","-71,925","-10,147",5.5,0.0,3.2,-1.2,83.54,-3.18,469.33,397.6,528399000.0,"$3,246,069",Computer and Technology,2.0
54,MSFT,23.Q3,10.33,29.71,30.43,10.63,38.30,19.2,55.20,102.00,"56,517","26,895","22,291","445,785","225,071","220,714","30,583",503,"14,761",5.5,0.25,4.4,2.0,86.72,8.92,443.37,338.1,540907000.0,"$3,246,069",Computer and Technology,2.0
55,MSFT,23.Q2,9.68,27.70,34.99,12.28,38.20,19.1,55.00,99.80,"56,189","24,254","20,081","411,976","205,753","206,223","28,770","-9,134","-11,413",5.25,2.5,2.4,-0.4,77.8,-2.55,493.28,335.9,666764400.0,"$3,246,069",Computer and Technology,2.0
56,MSFT,23.Q1,9.24,26.16,31.09,11.02,38.50,18.8,55.10,95.20,"52,857","22,352","18,299","380,088","185,405","194,683","24,441","-3,264","-10,290",2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91,307.3,551497100.0,"$3,246,069",Computer and Technology,2.0
57,MSFT,22.Q4,9.01,24.58,26.51,9.76,39.30,18.8,55.90,99.10,"52,747","20,399","16,425","364,552","181,416","183,136","11,173","-7,150","-11,349",4.5,2.0,3.4,0.7,84.88,-12.03,393.28,247.8,666168100.0,"$3,246,069",Computer and Technology,2.0
58,MSFT,22.Q3,9.29,23.28,24.89,10.01,42.10,19.8,59.60,107.30,"50,122","21,518","17,556","359,784","186,218","173,566","23,198","-3,132","-10,883",2.5,0.75,2.7,2.4,96.91,-11.17,406.6,232.1,671225100.0,"$3,246,069",Computer and Technology,2.0
