Ticker,Quarter,매출액,영업이익,순이익,자산총액,부채총액,자본총액,영업활동,투자활동,재무활동
KMB,20.03/31,"5,009",904,660,"15,677","15,631",-167,704,-359,220
KMB,19.12/31,"4,583",751,547,"15,283","15,089",-33,924,-275,-632
KMB,19.09/30,"4,640",915,671,"15,033","14,945",-141,886,-245,-747
KMB,19.06/30,"4,594",670,485,"15,347","15,297",-178,609,-198,-371
KMB,19.03/31,"4,633",655,454,"15,204","15,286",-305,317,-324,-42
KMB,18.12/31,"4,569",639,411,"14,518","14,564",-287,949,-270,-632
KMB,18.09/30,"4,582",669,451,"14,583","14,471",-133,692,-220,-453
NEM,24.09/30,"4,605","1,128",922,"56,175","26,279","29,712","1,648",-562,-789
NEM,24.06/30,"4,402","1,039",853,"55,678","26,115","29,379","1,428",-641,-658
NEM,24.03/31,"4,023",400,170,"55,335","26,260","28,890",776,-798,-299
NEM,23.12/31,"3,957","-2,809","-3,158","55,506","26,301","29,027",616,-249,-538
NEM,23.09/30,"2,493",238,158,"38,084","18,824","19,074","1,003",-253,-381
NEM,23.06/30,"2,683",366,155,"38,133","18,718","19,225",663,-158,-334
NEM,23.03/31,"2,679",505,351,"38,374","18,815","19,377",481,-342,-350
NEM,22.12/31,"3,200","-1,431","-1,477","38,482","18,949","19,354","1,010",-726,-479
NEM,22.09/30,"2,634",295,213,"39,143","17,743","21,219",473,"-1,223",-460
NEM,22.06/30,"3,058",540,387,"39,690","18,091","21,421","1,043",-515,-522
NEM,22.03/31,"3,023",799,448,"39,913","18,282","21,449",694,-519,-895
NEM,21.12/31,"3,390",-626,-46,"40,564","18,703","22,022","1,299",-351,-595
NEM,21.09/30,"2,895",66,3,"39,865","16,579","22,712","1,144",-390,-697
NEM,21.06/30,"3,065",961,650,"40,677","16,583","23,239",995,-777,"-1,155"
NEM,21.03/31,"2,872",856,559,"41,063","17,071","23,127",841,-350,-511
NEM,20.12/31,"3,381",920,824,"41,369","17,490","23,008","1,686",-411,-561
NEM,20.09/30,"3,170",998,839,"40,551","16,931","22,661","1,596",-337,-242
NEM,20.06/30,"2,365",431,344,"39,885","16,914","22,004",664,-284,-291
NEM,20.03/31,"2,581",457,822,"39,699","16,919","21,806",936,"1,123",-586
NEM,19.12/31,"2,967",519,565,"39,974","17,557","21,420","1,205",-409,"-1,271"
NEM,19.09/30,"2,713",458,"2,178","40,763","18,279","21,430",791,-438,530
NEM,19.06/30,"2,257",12,-25,"36,987","16,614","19,354",299,-104,"-1,893"
NEM,19.03/31,"1,803",288,87,"20,880","9,361","10,499",571,-275,-143
NEM,18.12/31,"2,048",374,2,"20,715","9,203","10,502",740,-293,-109
NEM,18.09/30,"1,726",-114,-145,"20,559","8,936","10,597",425,-367,-115
DFS,24.09/30,"2,980","1,192",834,0,"134,506","17,109","2,024","-2,238",140
DFS,24.06/30,"3,799","2,061","1,515",0,"134,878","16,010","2,578","-2,490","-3,634"
DFS,24.03/31,"2,663","1,119",813,0,"138,037","14,670","1,843",358,514
DFS,23.12/31,"2,271",483,364,0,"137,478","14,235","2,876","-6,822","6,441"
DFS,23.09/30,"2,325",761,550,0,"129,196","14,236","2,389","-5,836","4,036"
DFS,23.06/30,"2,556","1,152",883,0,"124,226","13,856","1,507","-7,604","4,578"
DFS,23.03/31,"2,624","1,241",918,0,"118,746","14,315","1,791","-1,229",704
DFS,22.12/31,"2,761","1,266",961,0,"117,956","13,895","2,175","-13,014","7,866"
DFS,22.09/30,"2,695","1,327",975,0,"107,600","14,286","1,619","-7,490","6,270"
DFS,22.06/30,"2,664","1,441","1,097",0,"100,836","13,764","1,612","-5,794","6,010"
DFS,22.03/31,"2,748","1,618","1,205",0,"93,979","13,433","1,734",661,"-4,084"
DFS,21.12/31,"2,593","1,281","1,000",0,"96,834","13,408","1,342","-3,391",633
DFS,21.09/30,"2,592","1,402","1,055",0,"95,281","13,263","1,621","-1,510","-3,731"
DFS,21.06/30,"3,444","2,222","1,688",0,"97,814","13,171","1,548","-1,247","-4,607"
DFS,21.03/31,"3,160","2,079","1,546",0,"101,717","12,154","1,508","6,188",-611
DFS,20.12/31,"2,293","1,015",795,0,"102,005","10,884","1,633","3,696","-1,829"
DFS,20.09/30,"1,964",959,751,0,"114,097","10,252","1,296","-5,575",-799
DFS,20.06/30,616,-461,-369,0,"104,149","9,643","1,587",996,"1,373"
DFS,20.03/31,"1,081",-78,-78,0,"102,992","9,665","1,680","2,397",170
DFS,19.12/31,"2,108",924,705,0,"102,137","11,859","1,464","-3,055","2,443"
DFS,19.09/30,"2,101",994,749,0,"99,069","11,717",819,"-6,030",-30
DFS,19.06/30,"2,065",987,747,0,"99,214","11,493","1,578","-4,421","-1,017"
DFS,19.03/31,"1,954",930,705,0,"99,461","11,259","2,335","-1,768",-499
DFS,18.12/31,"2,007",897,681,0,"98,423","11,130",761,"-5,814","3,589"
DFS,18.09/30,"1,982",967,699,0,"94,826","11,016","1,606","-3,036","2,120"
MPC,24.09/30,"35,373","1,349",622,"79,833","54,121","18,933","1,684","2,034","-4,157"
MPC,24.06/30,"38,362","2,522","1,515","85,229","57,141","21,324","3,242",17,"-1,993"
MPC,24.03/31,"33,211","1,784",937,"85,528","55,757","22,922","1,532",-824,"-2,977"
MPC,23.12/31,"36,823","2,395","1,451","85,987","54,588","24,404","1,123",-964,"-3,169"
MPC,23.09/30,"41,583","4,753","3,280","89,969","57,171","25,862","4,953",-435,"-3,411"
MPC,23.06/30,"36,824","3,305","2,226","86,442","53,874","25,714","3,984",-880,"-3,720"
MPC,23.03/31,"35,077","4,061","2,724","87,037","53,374","26,858","4,057",-816,"-3,907"
MPC,22.12/31,"40,093","4,739","3,321","89,904","54,817","27,715","4,382",-498,"-2,636"
MPC,22.09/30,"47,237","6,686","4,477","89,694","55,919","26,304","2,514",501,"-4,715"
MPC,22.06/30,"54,238","8,328","5,873","96,737","63,068","26,306","6,952","-1,088","-3,932"
MPC,22.03/31,"38,384","1,716",845,"90,952","59,653","23,972","2,513","1,708","-2,364"
MPC,21.12/31,"35,608","1,778",774,"85,373","51,792","26,206","3,674","1,448","-5,703"
MPC,21.09/30,"32,613","1,340",694,"89,300","53,336","28,280","-1,148","-2,054","-2,762"
MPC,21.06/30,"29,827",965,"8,512","94,300","57,607","28,921","1,380","15,670","-6,463"
MPC,21.03/31,"22,882",217,-242,"86,651","57,172","21,592",454,-267,509
MPC,20.12/31,"18,187",390,285,"85,158","54,938","22,199","1,328",-433,"-1,057"
MPC,20.09/30,"17,548","-1,057",-886,"84,020","53,506","22,453","1,321",-747,-949
MPC,20.06/30,"12,300",575,9,"84,593","52,776","23,741",538,-989,-150
MPC,20.03/31,"20,997","-12,155","-9,234","86,317","54,121","24,088",-768,"-1,088","2,021"
MPC,19.12/31,"28,140",558,443,"98,556","55,449","33,694","2,409","-1,686",-722
MPC,19.09/30,"27,688","1,680","1,095","98,139","54,515","33,738","2,787","-1,695",-813
MPC,19.06/30,"33,670","2,042","1,106","96,896","52,830","34,207","2,622","-1,360",-921
MPC,19.03/31,"28,601",669,-7,"96,436","52,574","33,951","1,623","-1,520",-920
MPC,18.12/31,"22,028","1,136",951,"92,940","47,887","35,175","2,727","-4,775","-1,222"
MPC,18.09/30,"23,132","1,403",737,"53,031","32,997","15,166","1,182","-1,377",186
FAST,24.09/30,"1,910",388,298,"4,738","1,141","3,597",297,-56,-211
FAST,24.06/30,"1,916",387,293,"4,604","1,108","3,496",258,-53,-186
FAST,24.03/31,"1,895",390,298,"4,533","1,104","3,429",336,-48,-267
FAST,23.12/31,"1,759",354,266,"4,463","1,114","3,349",354,-33,-403
FAST,23.09/30,"1,846",387,296,"4,597","1,130","3,467",388,-43,-287
FAST,23.06/30,"1,883",395,298,"4,577","1,196","3,381",302,-54,-243
FAST,23.03/31,"1,859",393,295,"4,577","1,306","3,271",389,-31,-349
FAST,22.12/31,"1,696",333,246,"4,549","1,385","3,163",302,-41,-269
FAST,22.09/30,"1,802",379,285,"4,627","1,466","3,161",258,-45,-221
FAST,22.06/30,"1,779",383,287,"4,592","1,414","3,179",151,-44,-86
FAST,22.03/31,"1,704",358,270,"4,467","1,325","3,142",230,-33,-200
FAST,21.12/31,"1,532",301,231,"4,299","1,257","3,042",156,-42,-129
FAST,21.09/30,"1,554",318,244,"4,223","1,258","2,965",167,-46,-190
FAST,21.06/30,"1,508",318,240,"4,167","1,286","2,881",172,-32,-154
FAST,21.03/31,"1,417",280,211,"4,074","1,288","2,787",275,-30,-154
FAST,20.12/31,"1,358",264,196,"3,965","1,232","2,733",321,-43,-371
FAST,20.09/30,"1,413",290,222,"4,109","1,223","2,886",289,-30,-131
FAST,20.06/30,"1,509",316,239,"4,085","1,302","2,783",251,-37,-174
FAST,20.03/31,"1,367",271,203,"3,935","1,278","2,657",241,-172,-78
FAST,19.12/31,"1,277",239,179,"3,800","1,134","2,666",252,-61,-211
FAST,19.09/30,"1,379",282,214,"3,814","1,229","2,586",257,-60,-178
FAST,19.06/30,"1,368",275,205,"3,756","1,253","2,504",128,-67,-71
FAST,19.03/31,"1,309",261,194,"3,652","1,255","2,397",205,-53,-135
FAST,18.12/31,"1,232",233,169,"3,322","1,019","2,303",178,-75,-65
FAST,18.09/30,"1,280",262,198,"3,194",878,"2,316",185,-45,-144
AME,24.09/30,"1,709",446,340,"14,768","5,217","9,550",487,-26,-477
AME,24.06/30,"1,735",448,338,"14,796","5,543","9,252",381,-22,-334
AME,24.03/31,"1,736",417,311,"14,865","5,897","8,968",410,-21,-418
AME,23.12/31,"1,731",445,343,"15,024","6,293","8,730",541,"-2,050","1,062"
AME,23.09/30,"1,623",438,340,"13,093","4,751","8,343",473,-176,-48
AME,23.06/30,"1,646",419,324,"12,840","4,758","8,081",335,-28,-102
AME,23.03/31,"1,597",406,306,"12,616","4,859","7,757",387,-122,-215
AME,22.12/31,"1,626",398,307,"12,431","4,955","7,477",385,-297,-75
AME,22.09/30,"1,552",385,298,"12,039","4,906","7,133",327,-215,-131
AME,22.06/30,"1,515",365,282,"11,985","5,035","6,950",236,-26,-183
AME,22.03/31,"1,459",353,272,"11,972","5,040","6,932",201,-15,-187
AME,21.12/31,"1,504",361,282,"11,898","5,026","6,872",282,-161,-132
AME,21.09/30,"1,441",338,257,"11,680","5,121","6,558",307,-13,-320
AME,21.06/30,"1,386",317,232,"11,755","5,412","6,343",287,"-1,598",576
AME,21.03/31,"1,216",293,219,"10,580","4,459","6,121",284,-285,-84
AME,20.12/31,"1,199",298,221,"10,357","4,408","5,949",386,-37,-455
AME,20.09/30,"1,127",271,205,"10,433","4,729","5,704",310,-6,-141
AME,20.06/30,"1,012",227,166,"10,311","4,825","5,486",315,-11,-430
AME,20.03/31,"1,202",232,281,"10,602","5,276","5,326",271,116,487
AME,19.12/31,"1,305",298,221,"9,845","4,729","5,115",342,-978,281
AME,19.09/30,"1,277",301,221,"9,220","4,354","4,866",330,-134,-16
AME,19.06/30,"1,289",295,216,"9,070","4,403","4,667",246,-22,-26
AME,19.03/31,"1,288",283,204,"8,891","4,435","4,457",196,-18,-166
AME,18.12/31,"1,271",282,212,"8,662","4,420","4,242",296,-786,330
AME,18.09/30,"1,193",265,191,"8,108","3,596","4,512",249,-23,-262
PEG,24.09/30,"2,642",641,520,"54,080","37,985","16,095",623,-751,211
PEG,24.06/30,"2,423",582,434,"52,382","36,558","15,824",482,-827,-734
PEG,24.03/31,"2,760",685,532,"52,388","36,670","15,718",661,-785,"1,249"
PEG,23.12/31,"2,605",692,546,"50,741","35,264","15,477",710,-928,217
PEG,23.09/30,"2,456",551,139,"49,552","34,386","15,166",687,-911,-273
