,금리,금리등락률,GDP,GDP등락률,유가,유가등락률,S&P500
192,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
193,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
194,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
195,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
196,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
197,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
198,2.5,0.25,0.6,-1.9,65.03,-8.73,249.92
199,2.25,0.0,2.5,0.0,73.76,0.0,290.72
200,5.25,-0.25,3.1,0.1,84.0,-1.26,562.01
201,5.5,0.0,3.0,1.4,85.26,3.96,534.01
202,5.5,0.0,1.6,-1.6,81.3,-2.24,521.21
203,5.5,0.0,3.2,-1.2,83.54,-3.18,469.33
204,5.5,0.25,4.4,2.0,86.72,8.92,443.37
205,5.25,2.5,2.4,-0.4,77.8,-2.55,493.28
206,2.75,-1.75,2.8,-0.6,80.35,-4.53,385.91
207,4.5,2.0,3.4,0.7,84.88,-12.03,393.28
208,2.5,0.75,2.7,2.4,96.91,-11.17,406.6
209,1.75,1.25,0.3,1.3,108.08,12.49,389.8
210,0.5,0.25,-1.0,-8.4,95.59,15.59,4.09
211,0.25,0.0,7.4,3.9,80.0,10.0,453.42
212,0.25,0.0,3.5,-2.9,70.0,4.0,453.08
213,0.25,0.0,6.4,0.8,66.0,6.0,422.6
214,0.25,0.0,5.6,1.2,60.0,14.5,383.63
215,0.25,0.0,4.4,-30.8,45.5,2.6,369.85
216,0.25,0.0,35.2,63.9,42.9,12.4,342.57
217,0.25,-1.0,-28.7,-23.2,30.5,-19.77,319.34
218,1.25,-0.5,-5.5,-8.3,50.27,-12.98,297.46
219,1.75,-0.5,2.8,-2.0,63.25,1.95,322.41
220,2.25,-0.25,4.8,2.4,61.3,-5.4,253.12
221,2.5,0.0,2.4,-0.1,66.7,3.6,293.0
222,2.5,0.0,2.5,1.9,63.1,-1.93,282.48
